0,1
Por que é mais difícil para as mulheres lutar contra alcoolismo e dependência às drogas,1.0
Cientista modifica forma de bactérias para combatê-las,1.0
Qual o melhor tipo de cirurgia para miopia?,1.0
Psicólogo cria 'kit de reparo' para descontentamento no casamento,1.0
"Programa tenta reduzir drogas entre jovens, mas consumo de álcool cresce",1.0
"Um em cada cinco paulistanos tem pressão alta, aponta pesquisa",1.0
"Zika virou ameaça por uma única mutação em 2013, dizem cientistas",1.0
'Para de chorar porque o seu marido vai cansar': o estigma da depressão pós-parto que afeta 1 em 4 mães no Brasil,1.0
Projetos usam dança como terapia para pessoas com depressão e idosos,1.0
Farmacêuticas desenvolvem novas terapias contra a hemofilia,1.0
Minha neta tem febre periódica. O que é isso e o que posso fazer?,1.0
Cientistas criam novos anticorpos capazes de atacar até 99% dos tipos de HIV,1.0
Como grandes empresas deixaram o Brasil viciado em junk food,1.0
Superbactérias podem se tornar a principal causa de morte no mundo,1.0
"Para paliativistas, é crucial haver honestidade com paciente grave",1.0
Pesquisa mapeia o comportamento sexual de gays e bissexuais no Brasil,1.0
Vírus primos da dengue podem estar na ativa,1.0
"Pais arrecadam R$ 3,6 milhões para tratar criança com doença rara",1.0
"Doença de Lady Gaga, fibromialgia causa dor, mas vida normal é possível",1.0
"Duas vezes mais mulheres do que homens perdem interesse em sexo após o casamento, indica estudo",1.0
"Brasileiro tomaria menos 'refri' se preço fosse salgado, aponta pesquisa",1.0
Tenho muita coceira no olho. O que pode ser? Posso coçar?,1.0
'Por que deixei de ser vegano para tentar melhorar minha saúde',1.0
Farmacêutica Sanofi desiste de desenvolver vacina contra a zika,1.0
"Falar em cura para Aids é criar uma cortina de fumaça, diz antropólogo",1.0
Doença de Kate Middleton é mais comum na primeira gravidez,1.0
"Temos que ensinar machões a serem afetuosos com os filhos, diz 'papai pop'",1.0
A nova câmera que consegue enxergar de fora o interior do corpo humano,1.0
Tenho bócio e gostaria de operar. O que faço?,1.0
Anvisa suspende lotes de paracetamol e de dois antibióticos,1.0
Pela primeira vez terapia gênica é aprovada nos EUA; leucemia é o alvo,1.0
Rio solta milhões de Aedes com bactéria para combater dengue e zika,1.0
Idosos superam artrite e até depressão com esporte: 'Prefiro morrer na quadra a largar isso',1.0
"A geração smartphone, que bebe menos álcool, faz menos sexo e não está preparada para a vida adulta",1.0
EUA aceleram teste de psicodélico contra o estresse pós-traumático,1.0
Pesquisadora conta em livro 120 anos de história de homens trans,1.0
"Os corações artificiais ainda custam caro demais, diz cirurgião britânico",1.0
"No Brasil, corações artificiais ainda são pouco utilizados",1.0
Não tomo leite. Corro risco de osteoporose na menopausa?,1.0
Método experimental prevê demência dois anos antes de sintomas,1.0
"Esquecimentos podem ser importantes para funcionamento do cérebro, diz estudo",1.0
"Contrários à onda fitness, movimentos pregam o fim do 'corpo ideal'",1.0
"Tenho uma bolha na gengiva. O que faço, devo me preocupar?",1.0
Surtos de febre amarela no país têm origem no norte da América do Sul,1.0
ANS vai ter regras para que planos de saúde monitorem obesidade,1.0
"Um dilema no estudo de câncer: testes clínicos demais, pacientes de menos",1.0
"'Perdi 47 kg após bariátrica, mas a luta ainda é diária', diz enfermeira",1.0
Governo é contra liberação irrestrita da maconha para uso medicinal,1.0
Os segredos de 5 dos países com maior expectativa de vida,1.0
"Em premiação de oncologia, cientista pede mais verba para ciência do país",1.0
Genética é só uma das armadilhas no caminho do emagrecimento,1.0
Psiconeuroimunologia: a intrigante técnica de escrever sobre traumas que ajuda a curar o corpo,1.0
Veja dicas para fazer parte dos 10% que mantêm o peso após dieta,1.0
